Project_ID,Project_Name,Project_Type,Research_Method,Client_ID,Project_Manager_ID,Start_Date,End_Date,Status,Priority,Budget
P0001,Treatment Pathway Study – Project 001,Treatment Pathway Study,Qualitative,C002,E009,2026-05-09,2026-11-05,On Hold,Medium,77572
P0002,Treatment Pathway Study – Project 002,Treatment Pathway Study,Qualitative,C001,E029,2025-08-05,2026-01-02,Completed,Low,218079
P0003,HCP Satisfaction Study – Project 003,HCP Satisfaction Study,Quantitative,C019,E025,2025-05-27,2025-11-13,On Hold,Low,124844
P0004,Physician Market Research – Project 004,Physician Market Research,Quantitative,C004,E040,2025-01-26,2025-07-17,Completed,Medium,26012
P0005,Prior Authorization Research – Project 005,Prior Authorization Research,Quantitative,C017,E029,2025-01-04,2025-02-16,At Risk,Medium,239137
P0006,Prior Authorization Research – Project 006,Prior Authorization Research,Quantitative,C001,E040,2025-07-14,2025-09-20,In Progress,Medium,140792
P0007,Patient Journey Study – Project 007,Patient Journey Study,Qualitative,C004,E036,2026-04-27,2026-09-13,In Progress,Medium,84170
P0008,CRM Implementation – Project 008,CRM Implementation,Operational,C003,E028,2025-09-30,2026-01-27,Completed,Medium,177390
P0009,Competitive Intelligence – Project 009,Competitive Intelligence,Mixed Methods,C015,E040,2026-04-10,2026-05-17,At Risk,Medium,144387
P0010,Patient Journey Study – Project 010,Patient Journey Study,Qualitative,C013,E028,2025-02-22,2025-04-07,Completed,High,31661
P0011,Patient Experience Study – Project 011,Patient Experience Study,Qualitative,C010,E050,2025-02-18,2025-06-06,Completed,High,195921
P0012,Patient Journey Study – Project 012,Patient Journey Study,Qualitative,C005,E050,2026-03-10,2026-07-11,Completed,Medium,115305
P0013,Patient Experience Study – Project 013,Patient Experience Study,Qualitative,C002,E029,2025-02-25,2025-04-21,In Progress,High,182459
P0014,HCP Satisfaction Study – Project 014,HCP Satisfaction Study,Quantitative,C012,E036,2025-01-28,2025-03-24,Completed,High,226518
P0015,Physician Market Research – Project 015,Physician Market Research,Quantitative,C005,E025,2025-07-30,2025-09-17,At Risk,Low,162388
P0016,Treatment Pathway Study – Project 016,Treatment Pathway Study,Qualitative,C012,E040,2026-04-26,2026-08-19,In Progress,Low,176113
P0017,Patient Journey Study – Project 017,Patient Journey Study,Qualitative,C014,E036,2025-12-25,2026-01-25,Completed,Medium,82296
P0018,Prior Authorization Research – Project 018,Prior Authorization Research,Quantitative,C017,E050,2025-02-21,2025-06-17,Completed,Low,78473
P0019,Patient Journey Study – Project 019,Patient Journey Study,Qualitative,C010,E025,2026-03-12,2026-06-21,Completed,Low,118375
P0020,Treatment Pathway Study – Project 020,Treatment Pathway Study,Qualitative,C001,E040,2026-03-15,2026-06-23,In Progress,High,216876
P0021,Patient Experience Study – Project 021,Patient Experience Study,Qualitative,C006,E028,2026-02-21,2026-07-03,On Hold,Medium,142943
P0022,Competitive Intelligence – Project 022,Competitive Intelligence,Mixed Methods,C018,E023,2026-04-15,2026-08-01,Completed,Medium,103307
P0023,HCP Satisfaction Study – Project 023,HCP Satisfaction Study,Quantitative,C011,E023,2025-05-05,2025-09-21,On Hold,High,200413
P0024,HCP Satisfaction Study – Project 024,HCP Satisfaction Study,Quantitative,C013,E029,2026-05-25,2026-10-17,Completed,Medium,217003
P0025,CRM Implementation – Project 025,CRM Implementation,Operational,C010,E025,2025-06-16,2025-12-01,On Hold,Medium,228070
P0026,Patient Experience Study – Project 026,Patient Experience Study,Qualitative,C004,E009,2026-02-22,2026-07-22,At Risk,Medium,92262
P0027,Competitive Intelligence – Project 027,Competitive Intelligence,Mixed Methods,C018,E028,2025-10-29,2026-02-14,In Progress,High,184669
P0028,Physician Market Research – Project 028,Physician Market Research,Quantitative,C016,E036,2026-02-10,2026-05-25,In Progress,High,157822
P0029,CRM Implementation – Project 029,CRM Implementation,Operational,C020,E025,2025-11-23,2026-01-27,On Hold,Low,126019
P0030,Patient Journey Study – Project 030,Patient Journey Study,Qualitative,C018,E050,2025-12-01,2026-03-31,Completed,High,114311
P0031,Drug Adoption Study – Project 031,Drug Adoption Study,Quantitative,C006,E040,2025-11-17,2026-01-07,Completed,High,50774
P0032,Competitive Intelligence – Project 032,Competitive Intelligence,Mixed Methods,C006,E029,2026-02-10,2026-07-30,Completed,High,86835
P0033,Drug Adoption Study – Project 033,Drug Adoption Study,Quantitative,C005,E050,2026-01-20,2026-06-26,In Progress,Medium,148675
P0034,Patient Experience Study – Project 034,Patient Experience Study,Qualitative,C019,E028,2025-03-11,2025-04-28,In Progress,Medium,224476
P0035,HCP Satisfaction Study – Project 035,HCP Satisfaction Study,Quantitative,C012,E023,2026-03-06,2026-08-01,In Progress,Medium,219927
P0036,Drug Adoption Study – Project 036,Drug Adoption Study,Quantitative,C010,E009,2025-10-06,2025-11-22,On Hold,High,67208
P0037,Market Access Study – Project 037,Market Access Study,Mixed Methods,C020,E050,2025-06-18,2025-11-03,Completed,High,177848
P0038,Prior Authorization Research – Project 038,Prior Authorization Research,Quantitative,C013,E050,2025-09-25,2025-11-07,In Progress,Low,44082
P0039,Patient Experience Study – Project 039,Patient Experience Study,Qualitative,C019,E036,2026-05-18,2026-08-29,Completed,Medium,176878
P0040,CRM Implementation – Project 040,CRM Implementation,Operational,C020,E009,2026-03-22,2026-07-29,Completed,Medium,101933
P0041,Treatment Pathway Study – Project 041,Treatment Pathway Study,Qualitative,C002,E025,2026-03-10,2026-07-28,In Progress,Medium,126216
P0042,Competitive Intelligence – Project 042,Competitive Intelligence,Mixed Methods,C008,E009,2025-08-29,2025-11-30,At Risk,Medium,186469
P0043,Patient Experience Study – Project 043,Patient Experience Study,Qualitative,C015,E009,2026-02-12,2026-07-31,In Progress,High,120600
P0044,CRM Implementation – Project 044,CRM Implementation,Operational,C017,E023,2025-07-20,2025-12-13,Completed,Medium,206672
P0045,Drug Adoption Study – Project 045,Drug Adoption Study,Quantitative,C003,E029,2025-12-23,2026-02-22,In Progress,Medium,145056
P0046,HCP Satisfaction Study – Project 046,HCP Satisfaction Study,Quantitative,C007,E009,2025-11-29,2026-04-09,Completed,Medium,249718
