Activity_ID,Project_ID,Employee_ID,Activity_Date,Activity_Type,Hours_Worked,Cost,Tasks_Completed,Issues_Raised,Issues_Resolved
A000001,P0023,E024,2025-06-25,Stakeholder Meeting,8.1,543.87,7,0,0
A000002,P0003,E003,2025-08-28,Reporting,9.0,623.52,1,0,1
A000003,P0007,E043,2026-06-06,Client Review,6.3,353.3,6,0,0
A000004,P0072,E046,2026-05-22,Kickoff,9.8,698.02,4,0,1
A000005,P0019,E021,2026-03-25,Reporting,5.7,442.02,3,0,0
A000006,P0028,E025,2026-03-16,Issue Resolution,8.2,375.67,4,2,2
A000007,P0102,E043,2026-02-03,Client Review,6.6,345.29,2,0,0
A000008,P0105,E023,2026-02-17,Reporting,4.1,315.66,4,0,1
A000009,P0101,E035,2026-06-08,Kickoff,6.0,543.81,6,0,1
A000010,P0031,E026,2025-12-19,Client Review,6.8,598.85,6,0,1
A000011,P0075,E014,2026-03-29,Client Review,5.4,231.01,7,0,1
A000012,P0074,E040,2025-11-28,Quality Review,6.5,449.69,3,0,0
A000013,P0023,E010,2025-07-03,Reporting,7.7,639.18,6,0,0
A000014,P0067,E012,2025-07-30,Reporting,5.4,265.89,7,0,0
A000015,P0064,E035,2025-11-28,Data Collection,0.5,36.8,0,0,1
A000016,P0048,E036,2025-06-21,Analysis,9.7,588.39,3,0,0
A000017,P0091,E048,2025-07-03,Issue Resolution,4.8,358.87,5,0,0
A000018,P0082,E036,2026-02-28,Project Administration,3.4,125.55,3,0,0
A000019,P0064,E002,2025-09-04,Analysis,2.7,145.2,0,1,2
A000020,P0088,E043,2025-12-09,Stakeholder Meeting,4.7,251.17,5,0,0
A000021,P0092,E021,2026-01-28,Project Administration,4.1,246.49,3,1,2
A000022,P0069,E001,2026-03-10,Data Collection,3.7,154.93,4,0,1
A000023,P0033,E029,2026-05-12,Analysis,3.8,232.55,0,0,0
A000024,P0092,E009,2026-04-15,Kickoff,6.8,458.93,0,0,0
A000025,P0087,E021,2026-05-06,Analysis,10.6,387.96,4,0,1
A000026,P0119,E024,2025-08-23,Reporting,7.6,403.22,7,0,0
A000027,P0018,E004,2025-05-20,Stakeholder Meeting,8.3,378.79,5,0,0
A000028,P0051,E043,2025-12-14,Project Administration,4.6,429.32,7,0,0
A000029,P0111,E026,2026-01-25,Project Administration,5.8,248.32,6,0,1
A000030,P0062,E049,2025-07-04,Project Administration,6.6,479.46,2,1,2
A000031,P0114,E024,2026-07-13,Client Review,3.9,230.53,0,0,0
A000032,P0002,E030,2025-11-16,Client Review,4.4,229.86,4,0,0
A000033,P0005,E041,2025-02-10,Quality Review,7.6,655.46,4,0,1
